"Tuesday, November 14"
"184: Nick Reenan, NCST dec. Greg Bulsak, Clarion, 12-5"

"197: Dustin Conti, Clarion dec. Tanner Orndorff, UVU, 3-1 SV"

"285: Michael Boykin, NCST dec. Tate Orndorff, UVU, 7-4"



Keystone Classic - Brackets on Arena

"125 Sebastian Rivera  (Northwestern) dec. Gerald Wert (Rider), 7-2"

"133 Austin DeSanto (Drexel) md. Noah Gonser (Eastern Michigan), 26-12"

"141 Jered Cortez (Penn State) dec. Tyson Dippery (Rider), 4-3"

"149 Zain Retherford (Penn State) md. Ryan Deakin (Northwestern), 10-2"

"157 Jason Nolf (Penn State) fall. Joseph Velliquette (Univ of Pennsylvania), 5:39"

"165 Chad Walsh (Rider) dec. Maaziah Bethea (Univ of Pennsylvania), 6-2"

"174 Mark Hall (Penn State) fall. Josef Johnson (Harvard), 0:50"

"184 Bo Nickal (Penn State) fall. Mitch Sliga (Northwestern), 0:48"

"197 Anthony Cassar (Penn State) dec. Frank Mattiace (Univ of Pennsylvania), 7-4"

"285 Nick Nevills (Penn State) dec. Jacob Kasper (Duke University), 3-1"



NYS Championships

"125: Jonathan Haas (Brockport) fall. Colton Cummings (USMAPS), 3:45"

"133: Charles Tucker (Cornell) dec. Noah Baughman (Cornell), 5-3"

"141: Yianni Diakomihalis (Cornell) tf. Corey Shie (USMAPS), 19-4"

"149: Jonathan Furnas (Cornell) dec. Chris Schoenherr (Cornell), 7-3"

"157: Adam Santoro (Cornell) fall Sam Schneider (Ithaca), 2:38"

"165: Troy Keller (Niagara) dec. Nick Velez (Ithaca), 5-4"

"174: Andrew Berreyesa (Finger Lakes) fall Casey Cornett (USMAPS), 1:05"

"184: Max Dean (Cornell) dec. Lou Deprez (Binghamton), 4-1"

"197: Ben Darmstadt (Cornell) fall Joe Doyle (Binghamton), 2:15"

"285: Jake O`Brien (Ithaca) dec. Seth Janney (Finger Lakes), 7-0"


Roadrunner Open - Brackets on Arena

"125: Travis Piotrowski, ILL dec. Sergio Mendez, CSUB, 11-5"

"133: Sean Nickell, CSUB dec. Dylan Duncan, ILL, 10-4"

"141: Eli Stickley, WISC dec. Cole Martin, WISC, 6-3"

"149: Zander Wick, WISC dec. Eric Barone, ILL, 4-2"

"157:  Kyle Langenderfer, ILL dec. Andrew Crone, WISC, 9-4"

"165: Evan Wick, WISC md. Lorenzo De la Riva, CSUB, 13-5"

"174: Ryan Christensen, WISC dec. Jacob Covaciu, WISC, 2-1"

"184: Ricky Robertson, WISC dec. Emery Parker, ILL, 3-1 OT"

"197: Matt Williams, CSUB dec. Nathan Traxler, STAN, 12-8"

"285: Youssif Hemida, MD fall. Ben Stone, WISC, 2:46"



Black Knight Classic (Army)

"125: Nick Suriano (Rutgers) md. Alonzo Allen (Chattanooga), 8-0"

"133: Andy Schutz (Bloomsburg) dec. Dj Fehlman (Lock Haven), 9-2"

"141: Kyle Shoop (Lock Haven) tf. Joseph Russ (Binghamton), 16-0"

"149: Ronald Perry (Lock Haven) md. Frank Garcia (Binghamton), 15-3"

"157: Luke Weiland (Army) dec. Alex Klucker (Lock Haven), 8-6"

"165: Chance Marsteller (Lock Haven) dec. Andrew Mendel (Army), 11-4"

"174: Joe Grello (Rutgers) dec. Jordan Pagano (Rutgers), 4-3"

