"Tuesday, November 14"
157: Justin Staudenmayer (Brown) over Christian Bassolino (Bucknell) (Dec 3-1)
*Brown deducted a team point for unsportsmanlike conduct

"Wyoming 32, North Dakota State 8"
125: Paul Bianchi (North Dakota State University) over Drake Foster (Wyoming) (MD 13-5)
133: Montorie Bridges (Wyoming) over Cam Sykora (North Dakota State University) (MD 14-4)
141: Bryce Meredith (Wyoming) over Nicolas Colunga (North Dakota State University) (TF 18-3 7:00)
149: Sam Turner (Wyoming) over Kyle Gliva (North Dakota State University) (Dec 6-3)
157: Clayton Ream (North Dakota State University) over Archie Colgan (Wyoming) (Dec 4-3)
165: Branson Ashworth (Wyoming) over Andrew Fogarty (North Dakota State University) (Dec 2-0)
174: Kyle Pope (Wyoming) over Charley Popp (North Dakota State University) (Dec 11-10)
184: Chaz Polson (Wyoming) over Cole Witzig (North Dakota State University) (TF 18-2 4:09)
197: Dewey Krueger (Wyoming) over Cordell Eaton (North Dakota State University) (Fall 1:42)
285: Sam Eagan (Wyoming) over Daniel Stibral (North Dakota State University) (Dec 3-2)
*North Dakota State deducted a team point for unsportsmanlike conduct

"Drexel 27, Columbia 9"
"285: Garrett Ryan (Columbia) dec. Vincent Polusi (Drexel), 3-0"
"125: Zach Fuentes (Drexel) maj dec. Spencer Good (Columbia), 14-6."
"133: Austin Desanto (Drexel) tech fall Alec Kelly (Columbia), 23-7"
"141: Julian Flores (Drexel) maj dec. Val Miek (Columbia), 10-1"
"149: Trevor Elfvin (Drexel) dec. Jacob Macalolooy (Columbia), 7-6 SV-1"
"157: Markus Scheidel (Columbia) dec Garrett Hammond (Drexel), 11-8"
"165: Ebed Jerrell (Drexel) maj dec. Lawrence Kosoy (Columbia), 12-1"
"174: Tyrel White (Columbia) dec. Austin Rose (Drexel), 6-5"
"184: Alex Deciantis (Drexel) dec. Andrew Psomas (Columbia), 10-3"
"197: Steven Loiseau (Drexel) maj dec. Michael Bulkin (Columbia), 16-6"

"Utah Valley 20, Cal State Bakersfield 15"
285: Dustin Dennison (Utah Valley University) over Mark Penyacsek (CSU Bakersfield) (Dec 8-2)
125: Taylor LaMont (Utah Valley University) over Sergio Mendez (CSU Bakersfield) (MD 11-3)
133: Sean Nickell (CSU Bakersfield) over Durbin Lloren (Utah Valley University) (MD 8-0)
141: Matt Findlay (Utah Valley University) over Noah Blakely-Beanes (CSU Bakersfield) (MD 19-6)
149: Kalani Tonge (CSU Bakersfield) over Matthew Ontiveros (Utah Valley University) (Dec 6-4)
157: Coleman Hammond (CSU Bakersfield) over Raider Lofthouse (Utah Valley University) (TF 19-2 2:46)
165: Demetrius Romero (Utah Valley University) over Jacob Thalin (CSU Bakersfield) (Dec 8-3)
174: Kimball Bastian (Utah Valley University) over Bryan Battisto (CSU Bakersfield) (Dec 5-3)
184: Gary Jantzer (Utah Valley University) over Dom Ducharme (CSU Bakersfield) (Dec 3-2)
197: Matt Williams (CSU Bakersfield) over Tanner Orndorff (Utah Valley University) (Dec 10-8)

"Sunday, January 21:"

"Ohio State 22, Iowa 12"
"125: Spencer Lee (Iowa) dec. Nathan Tomasello (Ohio), 3-2"
"133: Luke Pletcher (Ohio State) dec. Paul Glynn (Iowa), 8-2"
"141: Joey McKenna (Ohio State) major dec. Carter Happel (Iowa), 13-2"
"149: Brandon Sorensen (Iowa) dec. Ke-Shawn Hayes (Ohio State), 4-2"
"157: Michael Kemerer (Iowa) dec. Micah Jordan (Ohio State), 8-4"
"165: Alex Marinelli (Iowa) dec. Te?Shan Campbell (Ohio State), 4-1"
"174: Bo Jordan (Ohio State) dec. Kaleb Young (Iowa), 10-5"
"184: Myles Martin (Ohio State) major dec. Mitch Bowman (Iowa), 17-8"
"197: Kollin Moore (Ohio State) dec. Cash Wilcke (Iowa), 6-3"
"285: Kyle Snyder (Ohio State) tech fall Steven Holloway (Iowa), 24-9"

"Oklahoma State 42, Kent State 3"
125: Nicholas Piccininni (Oklahoma State) over Jake Ferri (Kent State) (TF 16-1 2:41)
133: Kaid Brock (Oklahoma State) over Anthony Tutolo (Kent State) (MD 13-5)
141: Dean Heil (Oklahoma State) over Tim Rooney (Kent State) (Fall 2:44)
149: Boo Lewallen (Oklahoma State) over Chance Driscoll (Kent State) (TF 23-8 6:30)
157: Jonce Blaylock (Oklahoma State) over Casey Sparkman (Kent State) (MD 11-2)
165: Isaac Bast (Kent State) over Dalton Moran (Oklahoma State) (Dec 7-1)
174: Jacobe Smith (Oklahoma State) over Dylan Barreiro (Kent State) (Fall 1:24)
184: Keegan Moore (Oklahoma State) over colin McCracken (Kent State) (Dec 8-5)
197: Preston Weigel (Oklahoma State) over Kyle Conel (Kent State) (TF 16-0 2:57)
285: Derek White (Oklahoma State) over Devin Nye (Kent State) (MD 10-1)

"Illinois 21, Purdue 12"
133: Dylan Duncan (Illinois) over Devin Schroder (Purdue) (MD 12-2)
141: Michael Carr (Illinois) over Nate Limmex (Purdue) (Dec 9-5)
149: Austin Nash (Purdue) over Eric Barone (Illinois) (Dec 3-2)
157: Kyle Langenderfer (Illinois) over Cole Wysocki (Purdue) (Dec 9-8)
165: Isaiah Martinez (Illinois) over Jacob Morrissey (Purdue) (TF 18-3 4:13)
174: Dylan Lydy (Purdue) over David Riojas (Illinois) (Dec 10-3)
184: Emory Parker (Illinois) over Max Lyon (Purdue) (Dec 8-4)
197: Andre Lee (Illinois) over Kobe Woods (Purdue) (Dec 5-3)
285: Shawn Streck (Purdue) over Duece Rachal (Illinois) (Dec 5-3)
125: Luke Welch (Purdue) over Travis Piotrowski (Illinois) (Dec 7-5)

"Old Dominion 27, American 10"
165: Luke Drugac (Old Dominion) over Anthony Wokasch (American) (Dec 5-1)
174: Seldon Wright (Old Dominion) over Michael Eckhart (American) (MD 13-4)
184: Antonio Agee (Old Dominion) over Connor Allshouse (American) (MD 12-2)
197: Jeric Kasunic (American) over John D`Agostino (Old Dominion) (MD 12-2)
285: Brett Dempsey (American) over Ali Wahab (Old Dominion) (Dec 6-1)
125: Michael McGee (Old Dominion) over Gage Curry (American) (Dec 2-1)
133: Josh Terao (American) over Caleb Richardson (Old Dominion) (SV-1 3-1)
141: Alex Madrigal (Old Dominion) over Jack Mutchnik (American) (Dec 6-3)
149: Kenan Carter (Old Dominion) over Elijah Murphy (American) (Fall 4:38)
157: Larry Early (Old Dominion) over Eric Hong (American) (MD 12-3)

"Clarion 48, George Mason 0"
125: Gavin Park (Clarion) over Talha Farooq (George Mason) (Fall 0:40)
133: Roshaun Cooley (Clarion) wins by forfeit
141: Brock Zacherl (Clarion) over Trevor Mello (George Mason) (Fall 3:46)
149: Taylor Ortz (Clarion) over Tejon Anthony (George Mason) (Dec 6-4)
157: Avery Shay (Clarion) over Bryce Reddington (George Mason) (Dec 5-0)
165: Taylor Cahill (Clarion) over Ryan Yorkdale (George Mason) (TF 17-1 6:11)
174: Dominic Rigous (Clarion) over Levko Higgins (George Mason) (Dec 4-3)
184: Greg Bulsak (Clarion) over Austin Harrison (George Mason) (Fall 1:45)
197: Dustin Conti (Clarion) over Eli Spencer (George Mason) (MD 13-3)
285: Toby Cahill (Clarion) wins by forfeit

"Nebraska 19, Rutgers 13"
165: Richie Lewis (Rutgers) over Isaiah White (Nebraska) (TB-1 2-1)
174: Joe Grello (Rutgers) over Beau Breske (Nebraska) (Dec 4-2)
184: Nick Gravina (Rutgers) over Taylor Venz (Nebraska) (Dec 9-3)
197: Eric Schultz (Nebraska) over Kevin Mulligan (Rutgers) (Dec 3-2)
285: Patrick Grayson (Nebraska) over Razohnn Gross (Rutgers) (MD 10-2)
125: Nick Suriano (Rutgers) over Mitch Maginnis (Nebraska) (MD 14-4)
133: Jason Renteria (Nebraska) over Scott Delvecchio (Rutgers) (Dec 14-11)
141: Chad Red (Nebraska) over Mike Vanschenkbrill (Rutgers) (Dec 3-1)
149: Colton McCrystal (Nebraska) over Eleazar Deluca (Rutgers) (Dec 7-2)
157: Tyler Berger (Nebraska) over John Vanschenkbrill (Rutgers) (SV-1 6-4)

"Rider 21, Edinboro 15"
125: Sean Russell (Edinboro) over Gerald (JR) Wert (Rider) (Dec 5-1)
133: Korbin Myers (Edinboro) over Anthony Cefelo (Rider) (Dec 12-5)
141: Tyson Dippery (Rider) over Nate Hagan (Edinboro) (TF 15-0 5:31)
149: Gary Dinmore (Rider) over Peter Pappas (Edinboro) (MD 10-2)
157: Andrew Shomers (Edinboro) over Bryant Clagon (Rider) (Dec 4-3)
165: Chad Walsh (Rider) over Fritz Hoehn (Edinboro) (MD 16-5)
174: Dean Sherry (Rider) over Ty Schoffstall (Edinboro) (MD 21-12)
184: Zach Ancewicz (Edinboro) over Michale Fagg-Daves (Rider) (SV-1 3-1)
197: Ethan Laird (Rider) over Aaron Paddock (Edinboro) (MD 13-3)
285: William Miller (Edinboro) over Mauro Correnti (Rider) (Dec 3-2)

"Chattanooga 38, The Citadel 7"
125: Alonzo Allen (Chattanooga) over William Jacobs (The Citadel) (TF 16-1 1:42)
133: Chris Debien (Chattanooga) over Nicholas Long (The Citadel) (Fall 0:57)
141: Mike Pongracz (Chattanooga) over Douglas Gudenburr (The Citadel) (Dec 2-1)
149: Tyler Buckiso (The Citadel) over Roman Boylen (Chattanooga) (Dec 6-3)
157: Dylan Forzani (Chattanooga) over Rian Burris (The Citadel) (Dec 7-2)
165: Chad Pyke (Chattanooga) over Michael Mewhorter (The Citadel) (Fall 2:34)
174: Justin Lampe (Chattanooga) over Robert Tywater (The Citadel) (Fall 1:05)
184: Bryce Carr (Chattanooga) over Michael Lopouchanski (The Citadel) (Fall 1:52)
197: Scottie Boykin (Chattanooga) over Sawyer Root (The Citadel) (Dec 9-4)
285: Michael McAleavey (The Citadel) over Scottie Boykin (Chattanooga) (MD 18-4)

"Duke 23, Navy 22"
125: Thayer Atkins (Duke) over Aslan Kilic (Navy) (Fall 5:37)
133: Josh Finesilver (Duke) over Cody Trybus (Navy) (Dec 5-4)
141: Nicholas Gil (Navy) over Jeremiah Reitz (Duke) (TF 20-5 7:00)
149: Corey Wilding (Navy) over Brandon Leynaud (Duke) (TF 15-0 3:06)
157: Mitch Finesilver (Duke) over Zachary Davis (Navy) (MD 17-6)
165: Drew Daniels (Navy) over Zach Finesilver (Duke) (Dec 3-2)
174: Matt Finesilver (Duke) over Ahmed Alford (Navy) (Dec 3-2)
184: Michael Coleman (Navy) over Kaden Russell (Duke) (Fall 1:56)
197: Steban Cervantes (Navy) over Alec Schenk (Duke) (Dec 9-7)
285: Jacob Kasper (Duke) over Austin Faunce (Navy) (Fall 5:30)

"Michigan 30, Minnesota 7"
149: Malik Amine (Michigan) over Steve Bleise (Minnesota) (Dec 6-4)
157: Alec Pantaleo (Michigan) over Jake Short (Minnesota) (Dec 5-2)
165: Nicholas Wanzek (Minnesota) over Logan Massa (Michigan) (Dec 14-8)
174: Myles Amine (Michigan) over Christopher Pfarr (Minnesota) (MD 12-3)
184: Domenic Abounader (Michigan) over Dylan Anderson (Minnesota) (TF 16-1 4:34)
197: Jackson Striggow (Michigan) over Brandon Krone (Minnesota) (Dec 4-3)
285: Adam Coon (Michigan) over Rylee Streifel (Minnesota) (Dec 7-2)
125: Drew Mattin (Michigan) over Ethan Lizak (Minnesota) (TB-1 4-2)
133: Stevan Micic (Michigan) over Mitch McKee (Minnesota) (Fall 4:15)
141: Thomas Thorn (Minnesota) over Salvatore Profaci (Michigan) (MD 12-4)

"Virginia Tech 31, Pitt 6"
125: Kyle Norstrem (Virginia Tech) over Lorenzo Bentley (Pittsburgh) (SV-1 (Fall) 7:00)
133: Dom Forys (Pittsburgh) over Dennis Gustafson (Virginia Tech) (Dec 4-1)
141: Brent Moore (Virginia Tech) over Nick Zanetta (Pittsburgh) (Dec 2-0)
149: Solomon Chishko (Virginia Tech) over Robert Lee (Pittsburgh) (Dec 3-1)
157: BC LaPrade (Virginia Tech) over GioVonne Sanders (Pittsburgh) (Dec 8-2)
165: David McFadden (Virginia Tech) over Jake Wentzel (Pittsburgh) (Dec 7-3)
174: Hunter Bolen (Virginia Tech) over Austin Bell (Pittsburgh) (TF 18-3 4:57)
184: Zachary Zavatsky (Virginia Tech) over Gregg Harvey (Pittsburgh) (MD 13-4)
197: Jared Haught (Virginia Tech) over Zach Bruce (Pittsburgh) (MD 11-2)
285: Ryan Solomon (Pittsburgh) over Andrew Dunn (Virginia Tech) (Dec 2-0)

"South Dakota State 22, Northern Iowa 16"
125: Connor Brown (South Dakota State) over Jacob Schwarm (Northern Iowa) (Fall 3:23)
133: Seth Gross (South Dakota State) over Jack Wagner (Northern Iowa) (Fall 1:32)
141: Josh Alber (Northern Iowa) over Henry Pohlmeyer (South Dakota State) (Dec 9-2)
149: Max Thomsen (Northern Iowa) over Colten Carlson (South Dakota State) (MD 15-1)
157: Luke Zilverberg (South Dakota State) over Logan Ryan (Northern Iowa) (MD 15-1)
165: Logan Peterson (South Dakota State) over Isaiah Patton (Northern Iowa) (Dec 4-2)
174: Taylor Lujan (Northern Iowa) over David Kocer (South Dakota State) (Dec 3-1)
184: Drew Foster (Northern Iowa) over Martin Mueller (South Dakota State) (Dec 8-4)
197: Nate Rotert (South Dakota State) over Jacob Holschlag (Northern Iowa) (Dec 5-1)
285: Carter Isley (Northern Iowa) over Alex Macki (South Dakota State) (Dec 3-1)

"Appalachian State 30, SIUE 9"
149: Gavin Londoff (Appalachian State) over Tyshawn Williams (Southern Illinois Edwardsville) (SV-1 6-4)
157: Angel Najar (Appalachian State) over Karsten Van Velsor (Southern Illinois Edwardsville) (Dec 13-6)
165: Nate Higgins (Southern Illinois Edwardsville) over Thomas Flitz (Appalachian State) (Dec 7-5)
174: Forrest Przybysz (Appalachian State) wins by forfeit
184: Alan Clothier (Appalachian State) over Bryce Shewan (Southern Illinois Edwardsville) (Dec 6-5)
197: Randall Diabe (Appalachian State) over Christian Dulaney (Southern Illinois Edwardsville) (Fall 7:44)
285: Cary Miller (Appalachian State) over Tommy Helton (Southern Illinois Edwardsville) (Fall 2:01)
125: Zachary Gentzler (Southern Illinois Edwardsville) over DeAndre Swinson-Barr (Appalachian State) (Dec 3-1)
133: John Muldoon (Southern Illinois Edwardsville) over Codi Russell (Appalachian State) (Dec 6-5)
141: Irvin Enriquez (Appalachian State) over Dakota Leach (Southern Illinois Edwardsville) (Dec 8-4)

"Campbell 31, Gardner-Webb 7"
125: Korbin Meink (Campbell) over Unknown (For.)
133: Philip Anderson (Gardner-Webb) over Nathan Boston (Campbell) (MD 13-4)
141: Jonathan Ryan (Campbell) over Denton Spencer (Gardner-Webb) (Dec 6-2)
149: Zachary Barnes (Campbell) over Joby Armenta (Gardner-Webb) (MD 12-3)
157: Austin Kraisser (Campbell) over Tyler Marinelli (Gardner-Webb) (Dec 4-1)
165: Quentin Perez (Campbell) over Brett Stein (Gardner-Webb) (Dec 8-5)
174: Andrew Morgan (Campbell) over Christian Maroni (Gardner-Webb) (MD 11-3)
184: Luke Funck (Campbell) over Cole Graves (Gardner-Webb) (MD 12-1)
197: Anthony Perrine (Gardner-Webb) over Chris Kober (Campbell) (Dec 3-2)
285: Jere Heino (Campbell) over Lathan Bumgarner (Gardner-Webb) (MD 9-1)

"Iowa State 25, West Virginia 17"
125: Zeke Moisey (West Virginia) over Sinjin Briggs (Iowa State) (TF 18-2 3:00)
133: Matthew Schmitt (West Virginia) over Ian Parker (Iowa State) (SV-1 4-2)
141: Christian Monserrat (West Virginia) over Kanen Storr (Iowa State) (SV-1 9-7)
149: Jarrett Degen (Iowa State) over Kyler Rea (West Virginia) (MD 17-5)
157: Chase Straw (Iowa State) over Zach Moore (West Virginia) (Dec 13-6)
165: Nick Kiussis (West Virginia) over Logan Breitenbach (Iowa State) (Fall 1:30)
174: Daniel Bush (Iowa State) over Parker VonEgidy (West Virginia) (Fall 1:07)
184: Dane Pestano (Iowa State) over Brenden McRill (West Virginia) (Dec 9-4)
197: Samuel Colbray (Iowa State) over Jacob Smith (West Virginia) (SV-1 6-5)
285: Marcus Harrington (Iowa State) over Brandon Ngati (West Virginia) (Fall 1:05)

"Wisconsin 28, Michigan State 7"
"125: Rayvon Foley (MSU) dec. Johnny Jimenez (Wisconsin), 8-4"
"133: Jens Lantz (Wisconsin) maj. dec. Matt Santos (MSU), 12-3"
"141: Eli Stickley (Wisconsin) dec. Javier Gasca (MSU), 6-2"
"149: Cole Martin (Wisconsin) maj. dec. Jwan Britton (MSU), 13-5"
"157: Andrew Crone (Wisconsin) dec. Jake Tucker (MSU), 7-0"
"165: Evan Wick (Wisconsin) tech. fall Austin Hiles (MSU), 19-4"
"174: Ryan Christensen (Wisconsin) dec. Logan Ritchie (MSU), 3-1"
"184: No. 9 Ricky Robertson (Wisconsin) dec. Shwan Shadaia (MSU), 7-2"
"197: Hunter Ritter (Wisconsin) dec. Nick May (MSU), 6-2"
"285: Christian Rebottaro (MSU) maj. dec. Ben Stone (Wisconsin), 15-4"

"Ohio 34, Northern Illinois 6"
"125: Kirk Johansen (NIU) dec. Trevor Giallambardo (OHIO), 7-2"
"133: Cameron Kelly (OHIO) tech fall Alijah Jeffery (NIU), 18-0"
"141: Mario Guillen (OHIO) maj. dec. Anthony Rubino (NIU), 13-2"
"149: Kade Kowalski (OHIO) dec. Nolan Baker (NIU), 10-4"
"157: Cullen Cummings (OHIO) maj. dec. Caden McWrhirter (NIU), 12-2"
"165: Joe Terry (OHIO) dec. Jose Acosta (NIU), 3-1"
174: Austin Reese (OHIO) pinned Quinton Rosser (NIU)
184: Arsen Ashughyan (OHIO) pinned Bryce Gorman (NIU)
"197: Max Ihry (NIU) dec. Gabe Dzuro (OHIO), 3-1"
"285: Zack Parker (OHIO) dec. Caleb Gossett (NIU), 3-2"

"Penn State 47, Maryland 3"
"125: Brandon Cray (Maryland) dec. Devin Schnupp (PSU), 4-2"
"133: Corey Keener (PSU) FALL Jhared Simmons (Maryland), (3:48)"
"141: Nick Lee (PSU) maj dec. Ryan Diehl (Maryland), 22-10"
"149: Zain Retherford (PSU) FALL Alfred Bannister (Maryland), (1:19)"
"157: Jason Nolf (PSU) FALL Kyle Cochran (Maryland), (1:43)"
"165: Vincenzo Joseph (PSU) FALL Brendan Burnham (Maryland), (1:23)"
"174: Mark Hall (PSU) FALL Jahi Jones (Maryland), (2:44)"
"184: Bo Nickal (PSU) FALL Nico Capello (Maryland), (2:23)"
"197: Anthony Cassar (PSU) maj. dec. David-Brian Whisler (Maryland), 14-5"
"285: Nick Nevills (PSU) dec. Youssif Hemida (Maryland), 4-1"

"Lock Haven 31, Brown 7"
"125: Luke Werner (LHU) dec. Trey Keeley (Brown), 7-1"
"133: DJ Fehlman (LHU) pinned Hunter Kosco (Brown), 5:59"
"141: Kyle Shoop (LHU) major dec. Zeke Salvo (Brown), 12-4"
"149: Ronnie Perry (LHU) major dec. Zach Krause (Brown), 8-0"
"157: Alex Klucker (LHU) dec. Justin Staudenmayer (Brown), 4-0"
"165: Chance Marsteller (LHU) major dec. Jon Viruet (Brown), 8-0"
"174: Jared Siegrist (LHU) major dec. Bryce Rogers (Brown), 14-3"
"184: Corey Hazel (LHU) dec. CJ LaFragola (Brown), 2-0"
"197: Tucker Ziegler (Brown) dec. Trey Hartsock (LHU), 4-2"
"285: Ian Butterbrodt (Brown) major dec. Derek Dragon (LHU), 11-2"

"Sacred Heart 27, VMI 13"
"141: Michael Hulcher (VMI) maj dec. Shaun Williams (SHU), 18-5"
"149: Alex Harnsberger (SHU) dec. Dom Gallo (VMI), 3-1 SV"
"157: Paul Klee (SHU) FALL Robert DuPont (VMI), 2:11"
"165: Blake Hohman (VMI) dec. Chris Zaccaria (SHU), 6-2"
"174: Thomas Grosso (SHU) dec. Gage Levine (VMI), 3-0"
"184: Chris Beck (SHU) dec. Joe Toci (VMI), 5-3"
"197: Max Gallahan (VMI) dec. Mark Boyle (SHU), 6-3"
"285: John Hartnett (SHU) FALL Jake Tomlinson (VMI), 0:37"
"125: Ryan Burns (SHU) dec Cliff Conway (VMI), 8-4"
"133: Timmy Johnson (SHU) FALL Jacob Mills (VMI), 1:27"

"Bloomsburg 29, Sacred Heart 13"
"141: Shawn Orem (Bloomsburg) tech fall Shaun Williams (Sacred Heart), 25-7"
"149: Alex Harnsberger (Sacred Heart) dec. Evan Campbell (Bloomsburg), 10-4)"
"157: Paul Klee (Sacred Heart) maj dec. Kevin Laubach (Bloomsburg), 11-2)"
"165: Nate Newberry (Bloomsburg) dec. William Schmidt (Sacred Heart), 4-2)"
"174: Kyle Murphy (Bloomsburg) dec. Chris Zaccaria (Sacred Heart), 2-0"
"184: Trevor Allard (Bloomsburg) maj dec. Mark Boyle (Sacred Heart), 12-2"
"197: Logan Womelsdorf (Bloomsburg) FALL Joe Toci (Sacred Heart), 2:31)"
"285: Bruce Graeber (Bloomsburg) dec. John Hartnett (Sacred Heart), 6-2"
125: Ryan Burns (Sacred Heart) wins by forfeit
"133: Andy Schutz (Bloomsburg) tech fall Tim Johnson (Sacred Heart), 20-2"

"Oklahoma 28, Northern Colorado 10"
"133: Rico Montoya (UNC) dec. Jake Rubio (OU), 4-3"
"141: Mike Longo (OU) FALL Ben Polkowske (UNC), 2:47"
"149: Davion Jeffries (OU) tech. fall Jimmy Fate (UNC), 17-0"
"157: Justin Thomas (OU) dec. Tyler Kinn (UNC), 10-4"
"165: Keilan Torres (UNC) dec. Dawaylon Barnes (OU), 12-5"
"174: Yoanse Mejias (OU) dec. Seth Bogulski (UNC), 12-6"
"184: Dylan Gabel (UNC) maj. dec. Matthew Waddell (OU), 8-0"
"197: Andrew Dixon (OU) dec. Tanner Davis (UNC), 6-1"
"285: Marquise Overton (OU) dec. Robert Winters (UNC), 4-3 TB-2"
"125: Christian Moody (OU) tech. fall Michael Johnson (UNC), 21-5"

"Bloomsburg 39, VMI 12"
141: Shawn Orem (Bloomsburg) over Michael Hulcher (VMI) (Dec 10-8) ÿ ÿ
149: Evan Campbell (Bloomsburg) wins by forfeit
157: Kevin Laubach (Bloomsburg) over Steven Midkiff (VMI) (Fall 3:51) ÿ ÿ
165: Blake Hohman (VMI) over Nate Newberry (Bloomsburg) (Fall 4:11) ÿ ÿ
174: Kyle Murphy (Bloomsburg) over Gage Levine (VMI) (MD 12-2)
184: Trevor Allard (Bloomsburg) over Christopher Beck (VMI) (Dec 6-1) ÿ ÿ
197: Logan Womelsdorf (Bloomsburg) over Max Gallahan (VMI) (Fall 4:14)
285: Saul Wilkins (Bloomsburg) over Jake Tomlinson (VMI) (TF 17-0)
125: Clifton Conway (VMI) wins by forfeit
133: Andy Schutz (Bloomsburg) over Jacob Mills (VMI) (Fall 0:33)

"Lehigh 30, Army West Point 6"
125: Darian Cruz (Lehigh) major dec. Trey Chalifoux (Army) 14-4
133: Nick Farro (Lehigh) dec. Lane Peters (Army) 9-3
141: Luke Karam (Lehigh) dec. Austin Harry (Army) 8-1
149: Will Lucie (Army) injury default Cortlandt Schuyler (Lehigh) 3:05
157: Ian Brown (Lehigh) dec. Lucas Weiland (Army) 6-2
165: Gordon Wolf (Lehigh) dec. Cael McCormick (Army) 10-8
174: Jordan Kutler (Lehigh) dec. Ben Harvey (Army) 8-5
184: Paul Dunn (Lehigh) dec. Noah Stewart (Army) 6-4
197: Chris Weiler (Lehigh) major dec. Rocco Caywood (Army) 10-2
285: Jordan Wood (Lehigh) major dec. Bobby Heald (Army) 11-2

"Central Michigan 26, Buffalo 9"
"125: Kyle Akins (UB) dec. Drew Hildebrandt (CMU), 4-0"
"133: Bryan Lantry (UB) dec. Dresdon Simon (CMU), 2-1"
"141: Mason Smith (CMU) dec. Jason Estevez (UB), 7-0"
"149: Nick Palumbo (UB) dec. Nolan Saxton (CMU), 6-3"
"157: Colin Heffernan (CMU) dec. Kobe Garrehy (UB), 11-4"
"165: Logan Parks (CMU) major dec. Noah Grover (UB), 10-2"
"174: CJ Brucki (CMU) major dec. Ryan Kromer (UB), 11-1"
"184: Jordan Ellingwood (CMU) dec. Brett Perry, 8-1"
"197: Jordan Atienza (CMU) dec. Joe Ariola (UB), 10-4"
"285: Matt Stencel (CMU) FALL Ian James (UB), 1:06"

"Wednesday, January 24:"

"Arizona State 24, Cal State Bakersfield 14"
"165: Anthony Valencia (Arizona State) maj dec. Jacob Thalin (CSUB), 12-4"
"174: Zahid Valencia (Arizona State) tech fall Bryan Battisto (CSUB), 25-9"
"184: Kordell Norfleet (Arizona State) dec. Dom Ducharme (CSUB), 9-7"
"197: Matt Williams (CSUB) maj dec. Cade Belshay (Arizona State), 13-4"
"285: Tanner Hall (Arizona State) tech fall Dominic Balmer (CSUB), 23-8"
"125: Sergio Mendez (CSUB) dec. Josh Kramer (Arizona State), 14-10"
"133: Sean Nickell (CSUB) dec. Ali Naser (Arizona State), 3-0"
"141: Russell Rohlfing (CSUB) maj dec. Nikko Villarreal (Arizona State), 8-0"
"149: Jason Tsirtsis (Arizona State) dec. Kalani Tonge (CSUB), 6-1"
"157: Josh Shields (Arizona State) maj dec. Coleman Hammond (CSUB), 16-8"

"Thursday, January 25:"

"Appalachian State 18, Campbell 12"
157: Angel Najar (Appalachian State) over Austin Kraisser (Campbell) (Dec 5-3)
165: Quentin Perez (Campbell) over Thomas Flitz (Appalachian State) (Dec 7-6)
174: Forrest Przybysz (Appalachian State) over Andrew Morgan (Campbell) (Dec 13-11)
184: Alan Clothier (Appalachian State) over Luke Funck (Campbell) (Dec 8-2)
197: Randall Diabe (Appalachian State) over Chris Kober (Campbell) (Dec 2-0)
285: Jere Heino (Campbell) over Cary Miller (Appalachian State) (Dec 3-2)
125: Korbin Meink (Campbell) over DeAndre Swinson-Barr (Appalachian State) (Dec 8-6)
133: Codi Russell (Appalachian State) over Nathan Boston (Campbell) (SV-1 10-8)
141: Jonathan Ryan (Campbell) over Irvin Enriquez (Appalachian State) (Dec 10-5)
149: Gavin Londoff (Appalachian State) over Zachary Barnes (Campbell) (Dec 5-4)

"VMI 24, The Citadel 21"
125: Clifton Conway (VMI) over William Jacobs (The Citadel) (TF 18-2 6:58)
133: Hunter Starner (VMI) over Nicholas Long (The Citadel) (MD 14-4)
141: Douglas Gudenburr (The Citadel) over Dominic Gallo (VMI) (Dec 4-1)
149: Tyler Buckiso (The Citadel) over Michael Hulcher (VMI) (Fall 5:30)
157: Rian Burris (The Citadel) over Robert DuPont (VMI) (Dec 7-2)
165: Blake Hohman (VMI) over Michael Mewhorter (The Citadel) (Fall 5:54)
174: Gage Levine (VMI) over William Curtis (The Citadel) (Fall 6:06)
184: Christopher Beck (VMI) over Michael Lopouchanski (The Citadel) (Dec 6-1)
197: Sawyer Root (The Citadel) over Max Gallahan (VMI) (Dec 8-1)
285: Michael McAleavey (The Citadel) over Jake Tomlinson (VMI) (Fall 5:31)

"Friday, January 26:"

"Penn State 35, Minnesota 8"
157: Jason Nolf (Penn State) over Jake Short (Minnesota) (MD 19-5)
165: Vincenzo Joseph (Penn State) over Nicholas Wanzek (Minnesota) (Dec 3-1)
174: Mark Hall (Penn State) over Christopher Pfarr (Minnesota) (Dec 10-3)
184: Bo Nickal (Penn State) over Dylan Anderson (Minnesota) (Fall 5:31)
197: Shakur Rasheed (Penn State) over Brandon Krone (Minnesota) (Fall 1:00)
285: Nick Nevills (Penn State) over Rylee Streifel (Minnesota) (Dec 2-0)
125: Ethan Lizak (Minnesota) over Devin Schnupp (Penn State) (TF 15-0 6:23)
133: Mitch McKee (Minnesota) over Corey Keener (Penn State) (Dec 15-8)
141: Nick Lee (Penn State) over Thomas Thorn (Minnesota) (MD 13-3)
149: Zain Retherford (Penn State) wins by forfeit

"Virginia Tech 20, Lehigh 17"
125: Darian Cruz (Lehigh) wins by forfeit
